"","X","species","SVL","count","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus","hab.cat"
"1192",1192,"Mertensophryne taitana",30.8030495354999,NA,3,12.421154528,1720.88127954294,-7.27814671527157,-14.484501276724,"LC","ANURA","BUFONIDAE","Mertensophryne","highlow"
"1193",1193,"Mesotriton alpestris",49.7111472509662,NA,NA,17.6434,2711.74753033265,45.7035681848642,36.6925023782253,NA,NA,NA,NA,NA
"1194",1194,"Metaphrynella sundana",20.7910646949103,NA,3,7.70093087500004,2339.3032293032,2.83232966721478,-2.0714033078216,"LC","ANURA","MICROHYLIDAE","Metaphrynella",NA
"1195",1195,"Micrixalus fuscus",32.0085982323578,9,3,4.92235504399997,646.205622939972,11.5886371482384,7.82334441773593,"NT","ANURA","MICRIXALIDAE","Micrixalus","highlow"
"1196",1196,"Microbatrachella capensis",16.4950160667673,NA,NA,0.800764709000021,214.612118922016,-35.2038083323035,-35.4711773837544,"CR","ANURA","PYXICEPHALIDAE","Microbatrachella","low"
"1197",1197,"Microhyla achatina",22.4910298984963,7,1,4.23939310100002,1398.40366521129,-7.2165092237783,-8.56814305085689,"LC","ANURA","MICROHYLIDAE","Microhyla","highlow"
"1198",1198,"Microhyla berdmorei",45.002607860798,33,3,30.660311002,4117.35738243364,11.5740607396815,-2.6685044606775,"LC","ANURA","MICROHYLIDAE","Microhyla","highlow"
"1199",1199,"Microhyla borneensis",15.0225796684669,NA,1,7.707809451,995.427386079125,2.88720543238968,-2.71664031108841,"LC","ANURA","MICROHYLIDAE","Microhyla","low"
"1200",1200,"Microhyla karunaratnei",17.6952942721639,NA,1,0.229612085999975,111.323871569726,7.23846686450312,7.04130914214999,"CR","ANURA","MICROHYLIDAE","Microhyla","low"
"1201",1201,"Microhyla ornata",32.0012373579852,44,3,28.057569639,3199.56435197735,19.7310605730778,6.3993967269361,"LC","ANURA","MICROHYLIDAE","Microhyla","highlow"
"1202",1202,"Microhyla palmipes",17.9933230468072,16,4,14.505944252,2866.80811390401,-3.47266223823064,-8.51951336478814,"LC","ANURA","MICROHYLIDAE","Microhyla","highlow"
"1203",1203,"Microhyla rubra",29.4951398851397,22,3,20.455694065,2473.86994823083,18.162881581116,5.19424858696759,"LC","ANURA","MICROHYLIDAE","Microhyla","highlow"
"1204",1204,"Microhyla zeylanica",22.5084695517691,NA,1,0.199730810000005,9.50453877449036e-05,7.47653011983123,6.51815664228052,"EN","ANURA","MICROHYLIDAE","Microhyla","low"
"1205",1205,"Minyobates steyermarki",15.7950333140232,NA,3,0.0617300970000088,9.50453877449036e-05,3.05180392687963,3.68692917911336,"CR","ANURA","DENDROBATIDAE","Minyobates",NA
"1206",1206,"Mixophyes balbus",69.9982881840598,NA,3,8.88397184799999,1068.19564708401,-33.3046275918615,-37.8850535784662,"VU","ANURA","MYOBATRACHIDAE","Mixophyes","highlow"
"1207",1207,"Mixophyes carbinensis",68.993567831153,NA,1,0.472731201999977,111.323871569726,-17.3376509372177,-17.4663077872992,"LC","ANURA","MYOBATRACHIDAE","Mixophyes","highlow"
"1208",1208,"Mixophyes coggeri",87.9066614152817,9,1,3.55146282999999,350.436940806811,-16.4295060764854,-18.8171129824221,"LC","ANURA","MYOBATRACHIDAE","Mixophyes","highlow"
